beta: 25.8620sec, alpha:  6.6727sec, calc: 272161 / 499500
beta: 25.8243sec, alpha:  6.6397sec, calc: 271681 / 499500
beta: 25.3629sec, alpha:  6.5581sec, calc: 267243 / 499500
beta: 24.6210sec, alpha:  6.3512sec, calc: 259439 / 499500
beta: 25.6142sec, alpha:  6.6136sec, calc: 269507 / 499500
beta: 25.0689sec, alpha:  6.4784sec, calc: 263925 / 499500
beta: 24.9835sec, alpha:  6.4437sec, calc: 262938 / 499500
beta: 24.6580sec, alpha:  6.3523sec, calc: 259554 / 499500
beta: 25.7358sec, alpha:  6.6224sec, calc: 270735 / 499500
beta: 24.8973sec, alpha:  6.4221sec, calc: 261797 / 499500
beta: 23.9708sec, alpha:  6.1901sec, calc: 252158 / 499500
beta: 24.4989sec, alpha:  6.3132sec, calc: 257416 / 499500
beta: 25.2144sec, alpha:  6.4871sec, calc: 265312 / 499500
beta: 24.2652sec, alpha:  6.2633sec, calc: 255435 / 499500
beta: 24.2246sec, alpha:  6.2325sec, calc: 255015 / 499500
beta: 24.6395sec, alpha:  6.3484sec, calc: 259246 / 499500
beta: 25.5821sec, alpha:  6.5784sec, calc: 268756 / 499500
beta: 25.5310sec, alpha:  6.5602sec, calc: 268159 / 499500
beta: 25.4688sec, alpha:  6.5907sec, calc: 268325 / 499500
beta: 24.8655sec, alpha:  6.4098sec, calc: 261732 / 499500
beta: 25.4913sec, alpha:  6.5531sec, calc: 268061 / 499500
beta: 25.3230sec, alpha:  6.5408sec, calc: 265947 / 499500
beta: 25.4448sec, alpha:  6.5668sec, calc: 267388 / 499500
beta: 25.7670sec, alpha:  6.6272sec, calc: 270853 / 499500
beta: 25.4813sec, alpha:  6.5821sec, calc: 268214 / 499500
beta: 25.4094sec, alpha:  6.5348sec, calc: 267081 / 499500
beta: 24.5375sec, alpha:  6.3279sec, calc: 258243 / 499500
beta: 25.0385sec, alpha:  6.4623sec, calc: 263856 / 499500
beta: 24.4070sec, alpha:  6.3106sec, calc: 257365 / 499500
beta: 25.4589sec, alpha:  6.5649sec, calc: 268401 / 499500
beta: 25.4503sec, alpha:  6.5793sec, calc: 268402 / 499500
